Rank,Title,Rating,Year
169,Všichni dobří rodáci,85.9,1968
170,Kid,86.0,1921
171,Život je krásný,85.9,1946
172,Tvoje jméno.,86.0,2016
173,Harry Potter a vězeň z Azkabanu,85.8,2004
174,Králova řeč,85.7,2010
175,Slavnosti sněženek,85.7,1983
176,Četník ze Saint Tropez,85.7,1964
177,Svět podle Prota,85.7,2001
178,Spider-Man: Paralelní světy,85.8,2018
179,Ucho,85.8,1970
180,Nebe a dudy,85.8,1941
181,Obchodník se smrtí,85.6,2005
182,Skála,85.6,1996
183,Toy Story: Příběh hraček,85.6,1995
184,Věc,85.6,1982
185,Poslušně hlásím,85.7,1957
186,Whiplash,85.6,2014
187,Česká soda,85.7,1998
188,Přednosta stanice,85.6,1941
189,Ducháček to zařídí,85.6,1938
190,Okno do dvora,85.7,1954
191,Diktátor,85.7,1940
192,Láska nebeská,85.5,2003
193,Agent bez minulosti,85.5,2002
194,Bournův mýtus,85.5,2004
195,Rambo: První krev,85.5,1982
196,Vlny,85.5,2024
197,Velký útěk,85.6,1963
198,Interstellar,85.4,2014
199,96 hodin,85.4,2008
200,"Jáchyme, hoď ho do stroje!",85.4,1974
201,Hačikó - příběh psa,85.4,2009
202,Těžká váha,85.4,2005
203,Howlův kráčející hrad,85.4,2004
204,Stezky slávy,85.5,1957
205,Poklad na Stříbrném jezeře,85.3,1962
206,Stvoření světa,85.4,1957
207,Ip Man,85.4,2008
208,Zvíře,85.4,1977
209,Příběh z Bronxu,85.4,1993
210,Tichá bolest,85.4,1990
211,Sunset Boulevard,85.4,1950
212,Bio Ráj,85.5,1988
213,Vlkochodci,85.6,2020
214,Chainsaw Man – Film: Reze Arc,86.8,2025
215,VALL-I,85.2,2008
216,Nekonečný příběh,85.3,1984
217,Příšerky s.r.o.,85.2,2001
218,Útěk do divočiny,85.2,2007
219,Neúplatní,85.2,1987
220,Muž z Acapulca,85.2,1973
221,Absolvent,85.3,1967
222,Kramerová versus Kramer,85.3,1979
223,Nebeští jezdci,85.3,1968
224,Vzpomínky na lásku,85.3,2004
225,Atentát,85.3,1964
226,Ve jménu otce,85.3,1993
227,Moderní doba,85.4,1936
228,Titanic,85.1,1997
229,Joker,85.1,2019
230,Adéla ještě nevečeřela,85.1,1978
231,Návrat do budoucnosti III,85.2,1990
232,Kmotr III,85.1,1990
233,Velký flám,85.2,1966
234,My Fair Lady,85.2,1964
235,Zlo mezi námi,85.2,2003
236,JFK,85.2,1991
237,Ben Hur,85.1,1959
238,Norimberský proces,85.3,1961
239,Lepší už to nebude,85.1,1997
240,Philadelphia,85.0,1993
241,Musíme si pomáhat,85.0,2000
242,Páni kluci,85.0,1975
243,Fimfárum Jana Wericha,85.0,2002
244,Metropolis,85.2,1927
245,Frigo na mašině,85.2,1926
246,Ten den přijde,85.5,2016
247,Volný pád,85.0,1993
248,Kulový blesk,85.0,1978
249,Asterix v Británii,84.9,1986
250,Mach a Šebestová k tabuli!,85.0,1985
251,Happy end,85.0,1967
252,Dva muži ve městě,85.1,1973
253,Bídníci,85.1,1958
254,Velká země,85.1,1958
255,Jean od Floretty,85.2,1986
256,Svědek obžaloby,85.2,1957
257,X-Men: První třída,84.8,2011
258,Poslední samuraj,84.9,2003
259,Fantomas,84.8,1964
260,Poslední Mohykán,84.8,1992
261,Co žere Gilberta Grapea,84.9,1993
262,Vinnetou,84.9,1963
263,Skleněné peklo,84.9,1974
264,Skřivánci na niti,84.9,1969
265,O myších a lidech,84.9,1992
266,Profesionál,84.9,1981
267,Malý velký muž,84.9,1970
268,Na sever Severozápadní linkou,84.9,1959
269,Laputa: Nebeský zámek,84.9,1986
270,Hrob světlušek,85.0,1988
271,Pahorek,84.9,1965
272,Světla velkoměsta,85.1,1931
273,Krtek,85.3,2011
274,Zmizelá,84.7,2014
275,Ďáblův advokát,84.7,1997
276,Čelisti,84.7,1975
277,Zootropolis: Město zvířat,84.8,2016
278,"Hoří, má panenko",84.7,1967
279,Ecce homo Homolka,84.8,1969
280,Lady a Tramp,84.8,1955
281,Kocour v botách: Poslední přání,84.8,2022
282,Payback: Straight Up,84.8,2006
283,Volyň,84.9,2016
284,Na západní frontě klid,85.1,1930
285,Sowon,85.3,2013
286,Amélie z Montmartru,84.6,2001
287,Žhavé výstřely 2,84.6,1993
288,Toy Story 2: Příběh hraček,84.6,1999
289,Apollo 13,84.6,1995
290,Na Hromnice o den více,84.6,1993
291,Crash,84.7,2004
292,Planeta opic,84.7,1968
293,Let číslo 93,84.7,2006
294,Mary a Max,84.7,2009
295,"Jestli se rozzlobíme, budeme zlí",84.7,1974
296,Kristian,84.7,1939
297,Baron Prášil,84.6,1961
298,Životy těch druhých,84.7,2006
299,Romeo a Julie,84.7,1968
